JD,RV,RV_err,NP
2413841.050498224,19.5,1.0,1
2413901.0564769087,18.6,1.0,1
2413931.059466251,17.7,1.0,1
2414311.0973312575,18.5,1.0,1
2414331.099324153,17.8,1.0,1
2415401.205944038,24.8,1.0,1
2415761.241816149,19.8,1.0,1
2416071.2727060225,20.1,1.0,1
2416371.3025994482,20.5,1.0,1
2416431.3085781336,20.1,1.0,1
2416451.310571029,18.9,1.0,1
2416461.311567476,18.0,1.0,1
2416571.3225283986,19.35,1.0,2
2416851.3504289296,21.9,1.0,1
2416861.3514253767,21.933333333333334,1.880307303489394,3
2416881.353418272,27.89,2.8,1
2416901.3554111673,25.3,2.5,1
2417211.3863010406,26.46,2.7,1
2417241.389290383,23.2,1.0,1
2417271.3922797255,26.64,2.1,1
2417641.4291482847,24.700000000000003,1.0,2
2417881.453063025,22.299999999999997,1.0,2
2417891.4540594723,21.600000000000005,1.0,3
2417901.4550559204,20.799999999999997,1.0,4
2417911.4560523676,20.666666666666664,1.228368384845885,3
2417931.458045263,19.85,1.0,2
2417941.45904171,19.45,1.0,1
2417951.4600381576,20.833333333333332,1.0,3
2417971.4620310524,20.3,1.0,1
2417991.4640239477,21.0,1.0,1
2418031.4680097383,20.4,1.0,2
2418041.4690061854,20.775,1.0,4
2418051.4700026326,20.833333333333332,1.0,3
2418201.4849493457,20.6,1.0,2
2418211.485945794,20.65,1.0,2
2418321.4969067164,17.25,1.0,2
2418331.4979031635,17.05,1.0,2
2418341.4988996116,18.5,1.0,1
2418351.499896059,18.799999999999997,1.0,2
2418361.500892506,17.4,1.0,1
2418371.501888954,18.65,1.0,2
2418381.5028854012,18.7,1.0,1
2418561.520821457,18.6,1.0,1
2418571.5218179044,19.9,1.0,2
2418601.5248072473,19.3,1.0,1
2418621.5268001417,19.2,1.0,1
2418641.528793037,25.7,1.0,1
2418671.5317823794,18.85,1.0,4
2418721.536764617,19.950000000000003,1.0,2
2418731.537761065,20.7,1.0,3
2418751.53975396,17.9,1.0,1
2418901.5547006726,19.0,1.0,1
2418911.5556971207,18.7,1.0,1
2418931.557690015,20.3,1.0,1
2418951.5596829103,20.9,1.0,1
2418971.5616758056,21.35,1.0,2
2419031.5676544905,20.32,1.0,1
2419081.572636728,24.0,1.0,1
2419091.5736331763,24.2,1.0,5
2419101.5746296234,23.950000000000003,1.0,2
2419111.5756260706,24.6,1.0,1
2419121.5766225187,22.5,1.0,2
2419271.591569232,21.8,1.0,1
2419281.592565679,22.450000000000003,1.0,2
2419311.5955550214,21.899999999999995,1.0,3
2419411.605519497,26.666666666666668,1.0,3
2419441.6085088393,24.15,1.0,2
2419451.609505287,24.633333333333336,1.8372685039360892,3
2419481.61249463,23.35,1.0,2
2419491.613491077,22.6,1.0,1
2419651.6294342373,20.35,1.0,2
