# Digitized from Annals of the Cape Observatory, Vol 10, p 155 (page 562 in google books PDF), https://www.google.com/books/edition/Annals_of_the_Cape_Observatory/7ZQ1AQAAIAAJ?hl=en by MM, 2024
# localdate, RV
1908-09-14, 21.5
1908-09-21, 19.7
1908-09-22, 20.9
1908-09-30, 20.4
1909-01-13, 17.6
1909-01-14, 16.9
1909-01-21, 17.3
1909-01-23, 16.8
1909-02-06, 18.5
1909-02-15, 18.2
1909-02-16, 19.4
1909-02-25, 17.4
1909-03-02, 19.1
1909-03-10, 18.2
1909-03-19, 18.7
1909-09-15, 18.6
1909-09-22, 20.0
1909-10-20, 19.3
1909-11-09, 19.2
1910-02-15, 19.6
1910-02-22, 20.3
1910-02-25, 21.2
1910-03-01, 19.6
1910-03-05, 21.3
1910-03-19, 17.9
1910-08-19, 19.0
1910-09-02, 18.7
1910-09-13, 20.3
1910-10-06, 20.9
1910-10-25, 20.9
1910-10-28, 21.8
1911-02-16, 24.0
1911-02-22, 24.4
1911-02-24, 23.8
1911-02-25, 23.5
1911-02-27, 24.8
1911-03-01, 24.5
1911-03-08, 24.6
1911-03-11, 23.3
1911-03-13, 24.6
1911-08-28, 21.8
1911-08-31, 22.8
1911-09-05, 22.1
1911-09-29, 22.4
1911-10-02, 21.6
1912-02-06, 23.9
1912-02-12, 24.4
1912-02-17, 23.0
1912-02-21, 23.7
1912-02-23, 27.2
1912-03-23, 23.2
1912-03-25, 23.5
1912-03-29, 22.6
1912-09-06, 20.7
1912-09-10, 20.0
1912-09-29, 21.6
1912-09-30, 22.6
1912-10-04, 21.3
1912-10-14, 20.6
1912-10-15, 20.4
1912-10-23, 20.0
1913-02-03, 25.4
1913-02-14, 23.4
