## From Lick Observatory Publications, Volume 16,
## On google books at https://www.google.com/books/edition/Publications_of_the_Lick_Observatory_of/f_Mbo2eouOAC?hl=en
## Transcribed by MM, 2024
## Supplimented with values from Table 2 of Sanford 1933 https://ui.adsabs.harvard.edu/abs/1933ApJ....77..110S/abstract, starting at JD 2425164
## MM: Note, in both cases, when there are multiple measures of the same plate I have averaged. 
# JD, RV 
2413836.05, 19.5
2413902.86, 18.6
2413930.77, 17.7
2414315.70, 18.5
2414335.66, 17.8
2416373.88, 20.5
2416430.77, 20.1
2416450.98, 18.9
2416456.93, 18.0
2417237.76, 23.2
2417881.03, 22.2
2417881.05, 22.4
2417887.95, 21.7
2417890.98, 21.5
2417895.87, 21.6
2417901.89, 21.0
2417903.93, 20.8
2417903.95, 20.0
2417904.88, 21.4
2417906.96, 22.4
2417909.87, 19.7
2417910.02, 19.9
2417927.72, 19.2
2417933.81, 20.5
2417943.92, 19.45
2417946.80, 20.7
2417946.82, 20.3
2417950.84, 21.5
2417969.74, 20.3
2417989.75, 21.0
2418033.64, 20.3 
2418034.65, 20.5 
2418038.65, 20.5 
2418040.67, 20.8 
2418041.70, 21.2
2418044.66, 20.6
2418048.65, 20.6
2418049.65, 21.5
2418051.68, 20.4
2418637.76, 25.7
2418668.80, 18.4
2418673.59, 19.1
2418674.72, 18.9
2418574.74, 19.8
2418675.70, 19.0
2419027.92, 20.32 
2419123.68, 22.2
2419124.67, 22.8 
2419307.95, 21.7 
2419406.66, 25.8 
2419412.66, 26.6 
2419412.68, 27.6
2420035.93, 20.55
2421266.66, 23.1
2421287.63, 24.1
2421287.67, 23.8
2421622.59, 22.0
2421624.60, 21.2
2421966.84, 21.0
2422291.82, 19.0
2422678.78, 18.9
2422680.74, 19.2
2422681.74, 19.4
2422737.59, 21.3
2422961.90, 21.6
2422967.88, 23.15
2422967.90, 23.05
2422980.85, 22.15
2422980.87, 22.3
2422989.87, 20.7
2423059.78, 19.4
2423063.77, 21.3
2423063.83, 19.6
2423063.86, 19.2
2423070.78, 20.5
2423074.64, 25.5
2423080.65, 28.6
2423377.78, 26.6
2423409.73, 24.3
2423495.63, 24.7
2424467.72, 17.65
2424472.63, 18.1
2424514.72, 23.0 
2424529.85, 21.75
2424536.82, 22.5
2424536.86, 21.5
2424579.66, 21.3 
2424579.71, 21.4
2425164, 21.65
2425176, 22.5
2425177, 22.6
2425513, 25.5
2425528, 26.6
2425536, 25.9
2425549, 26.0
2425561, 24.6
2425571, 24.3
2425587, 22.6
2425945, 23.8
2425948, 23.1
2426025, 20.25

