## Mt Wilson Radial Velocities reported in https://ui.adsabs.harvard.edu/abs/1933ApJ....77..110S/abstract
## Table I 
# JD, RV
2423365.968, 21.3
2423422.721, 23.9
2423422.766, 23.3
2423696.009, 22.9
2423696.035, 23.9
2423713.940, 23.2
2423747.849, 20.9
2423769.803, 23.6
2423769.828, 22.6
2423802.661, 21.9
2423802.687, 21.9
2423834.620, 21.7
2424100.810, 20.2
2424131.802, 18.3
2424159.658, 18.6
2424191.679, 15.7
2424191.710, 16.8
2424403.014, 19.6
2424480.936, 19.2
2424482.961, 19.1
2424508.888, 21.1
2424537.790, 22.7
2424597.701, 18.9
2424807.000, 15.4
2424835.920, 16.1
2424879.833, 16.1
2424903.696, 18.1
2424914.690, 16.4
2425189.950, 19.4
2425248.756, 21.8
2425248.806, 22.4
2425314.627, 22.8
2425343.622, 23.0
2425592.883, 27.0
2425609.876, 22.8
2425613.816, 20.5
2425696.712, 23.7
2425906.966, 23.7
2425929.848, 21.0
2425932.863, 23.7
2425966.906, 21.8
2426252.963, 18.0
2426290.930, 19.3
2426603.992, 18.6
