# JD     RV     RV_err 
 2454754.586625  21.285886  0.0055875435 
 2454756.599034  21.486886  0.0055867854 
 2454760.569502  21.677702  0.0056144355 
 2454764.557216  22.032518  0.0053416136 
 2454774.688162  22.686025  0.0059397937 
 2454774.689556  22.691598  0.0060937599 
 2454774.753141  22.658577  0.0056356784 
 2454777.514863  22.872315  0.0065456413 
 2454777.516244  22.855252  0.0062738062 
 2454777.517634  22.841233  0.0059351635 
 2454778.516927  22.913550  0.0060027614 
 2454778.518321  22.896220  0.0059315429 
 2454778.647650  22.887399  0.0061437652 
 2454780.496027  22.987508  0.0063752526 
 2454783.634615  23.183855  0.0063308018 
 2454785.482047  23.281237  0.0065136238 
 2454785.483440  23.269792  0.0073043682 
 2454804.499710  23.953987  0.0085354544 
 2454804.501100  23.945954  0.0082057946 
 2454804.517530  23.922079  0.0082019159 
 2454805.475460  23.955264  0.0081587915 
 2454805.483800  23.945445  0.0082179607 
 2454805.508310  24.024689  0.0081528776 
 2454805.513850  23.985182  0.0082605832 
 2454806.457930  23.927313  0.0083182666 
 2454806.459290  23.921092  0.0085624866 
 2454806.468010  23.997234  0.0084323965 
 2454807.468750  24.055247  0.0088147686 
 2454807.474770  24.093023  0.0089428183 
 2454812.490300  24.210289  0.0091282239 
 2454817.471980  24.200786  0.0094165606 
 2454817.517780  24.190446  0.0090135821 
 2454822.528400  24.253136  0.0098250014 
 2454834.360140  24.358304  0.0099072908 
 2454834.369480  24.365884  0.0091342896 
 2454834.370870  24.383311  0.0091856743 
 2454834.522170  24.514741  0.0092419042 
 2454835.362440  24.406826  0.0088005700 
 2454835.364230  24.413606  0.0092432940 
 2454835.373460  24.466346  0.0091010240 
 2454835.374840  24.481129  0.0092712197 
 2454835.388740  24.447601  0.0093770872 
 2454836.389260  24.441597  0.0089401708 
 2454851.515370  24.959952  0.0078815462 
 2454851.520790  24.968279  0.0077577437 
 2454851.522670  24.965941  0.0080044354 
 2454851.524760  24.978250  0.0078698073 
 2454851.527590  24.958541  0.0080697291 
 2454852.516060  24.979828  0.0079313697 
 2454852.517450  24.955918  0.0076862579 
 2454853.521500  24.998610  0.0080195720 
 2454855.501360  25.032646  0.0080959784 
 2454858.502000  25.113088  0.0072814514 
 2454859.523700  25.114702  0.0088915736 
 2454861.505300  25.176726  0.0074042190 
 2454862.566520  25.180199  0.0070877153 
 2454865.532900  25.239557  0.0078404601 
 2454872.474750  25.292744  0.0058734286 
 2454872.476770  25.265625  0.0061518402 
 2454875.395130  25.330801  0.0055460283 
 2454875.462510  25.309812  0.0059634058 
 2454875.492040  25.310062  0.0061393725 
 2454902.485630  25.020856  0.0080742019 
 2454902.487020  25.006939  0.0079408585 
 2454902.488400  24.996989  0.0075870636 
 2454935.394510  24.002444  0.0080490836 
 2454937.387950  23.910486  0.0082612646 
 2454937.389330  23.913190  0.0080702101 
 2454941.368670  23.865351  0.0086969222 
 2454941.370180  23.814424  0.0086591321 
 2454942.371250  23.912408  0.0090195207 
 2454942.372920  23.896646  0.0090885723 
 2454942.374640  23.881334  0.0090768873 
 2454944.366560  23.865517  0.0089397781 
 2454944.368950  23.865120  0.0089326079 
 2455062.731450  22.503340  0.0146843460 
 2455065.713780  22.524009  0.0141519060 
 2455070.701260  22.569704  0.0154689350 
 2455073.684400  22.676741  0.0123677910 
 2455073.717670  22.619685  0.0142874000 
 2455075.728010  22.729894  0.0149872030 
 2455081.714500  22.804040  0.0154086840 
 2455089.642700  23.014556  0.0150277840 
 2455089.664410  23.030531  0.0148344980 
 2455098.641890  23.270715  0.0145173020 
 2455100.614030  23.350211  0.0155994080 
 2455107.716250  23.497425  0.0176143040 
 2455108.711100  23.593844  0.0149601490 
 2455115.695870  23.712822  0.0146107060 
 2455118.713930  23.800315  0.0141119480 
 2455124.680060  23.872906  0.0131440570 
 2455132.662030  23.794376  0.0127648670 
 2455142.645730  23.491266  0.0131679650 
 2455144.706330  23.434822  0.0135639640 
 2455146.735350  23.316849  0.0134060660 
 2455154.515770  23.135946  0.0128259630 
 2455156.666620  23.139700  0.0133657170 
 2455159.764700  22.979037  0.0138702370 
 2455163.719050  22.913146  0.0138045910 
 2455167.660290  22.792911  0.0139513720 
 2455168.515830  22.770568  0.0140012340 
 2455170.681400  22.704764  0.0146306510 
 2455173.502320  22.695768  0.0138957600 
 2455204.587680  22.438217  0.0141752390 
 2455208.513770  22.500595  0.0147944030 
 2455208.516990  22.510348  0.0145320220 
 2455208.527710  22.564821  0.0145664650 
 2455210.499950  22.558405  0.0150813390 
 2455211.451920  22.615268  0.0143005290 
 2455212.475900  22.566060  0.0145311390 
 2455214.433700  22.661973  0.0149404250 
 2455215.534460  22.691061  0.0146373080 
 2455216.493270  22.761698  0.0147866810 
 2455218.531510  22.813320  0.0147947060 
 2455221.506890  22.930838  0.0159410430 
 2455236.483320  23.434405  0.0162717430 
 2455241.505250  23.622624  0.0162376610 
 2455251.448150  23.973829  0.0161900940 
 2455267.401690  24.289784  0.0153146940 
 2455272.404270  24.362393  0.0154634450 
 2455280.351850  24.212584  0.0147425070 
 2455282.372210  24.165596  0.0147953400 
 2455287.395770  24.000981  0.0143847470 
 2455290.371580  23.845253  0.0146346950 
 2455295.354160  23.602394  0.0141229130 
 2455441.710620  23.632162  0.0074359325 
 2455452.680950  23.845221  0.0111744070 
 2455503.532590  20.363840  0.0124556660 
 2455525.680100  21.072014  0.0156655090 
 2455528.664190  21.159672  0.0142094430 
 2455597.522120  19.997468  0.0110699380 
 2455600.552290  20.405166  0.0231924720 
 2455612.464440  20.272856  0.0151269350 
 2455618.495230  20.313506  0.0141556610 
 2455623.425530  20.366257  0.0132695760 
 2455637.372910  20.585841  0.0112629200 
 2455638.416740  20.719066  0.0109333120 
 2455641.411680  21.346641  0.0114209450 
 2455655.355430  21.180782  0.0096925831 
 2455790.726600  19.474970  0.0107601710 
 2455796.718500  19.706506  0.0112599340 
 2455799.701500  19.770448  0.0113123590 
 2455802.724300  19.913510  0.0118826010 
 2455805.717800  20.007811  0.0108504370 
 2455812.683000  20.195410  0.0121383570 
 2455815.671700  20.405850  0.0124306590 
 2455817.662800  20.460603  0.0126931760 
 2455821.694700  20.553110  0.0121051520 
 2455822.736800  20.676506  0.0126716620 
 2455824.670100  20.736125  0.0124748850 
 2455824.686700  20.733347  0.0118052740 
 2455825.650600  20.753491  0.0122567550 
 2455858.589700  20.910404  0.0126318860 
 2455860.540200  20.683067  0.0124260200 
 2455860.588900  20.724692  0.0127463380 
 2455860.605000  20.828984  0.0130162170 
 2455862.535300  20.670877  0.0143377970 
 2455863.543600  20.612623  0.0129079330 
 2455863.598700  20.620722  0.0122501260 
 2455868.517300  20.194773  0.0139773460 
 2455871.732300  20.226586  0.0125615890 
 2455872.543000  20.080634  0.0126294770 
 2455873.674400  20.044085  0.0129016420 
 2455874.658400  20.090831  0.0137516850 
 2455875.575100  19.994241  0.0122816120 
 2455875.592300  19.980483  0.0120397870 
 2455876.551300  19.941529  0.0122547390 
 2455876.680500  19.762538  0.0113546990 
 2455880.516000  19.623073  0.0113686830 
 2455880.633400  19.733979  0.0117109630 
 2455880.645100  19.738801  0.0119622650 
 2455881.541800  19.608202  0.0117615760 
 2455882.510900  19.664568  0.0113876170 
 2455883.556400  19.611890  0.0119563190 
 2455884.543300  19.604908  0.0111494120 
 2455886.521000  19.518703  0.0118680780 
 2455886.584400  19.526105  0.0110373800 
 2455890.694100  19.411136  0.0113968320 
 2455893.530400  19.318672  0.0111635940 
 2455894.474400  19.274886  0.0104943270 
 2455919.563500  18.647374  0.0130015980 
 2455921.466700  18.661306  0.0129532440 
 2455923.460100  18.446510  0.0134018290 
 2455928.411200  18.156013  0.0129097710 
 2455928.415900  18.157784  0.0131744420 
 2455928.420600  18.154474  0.0131472570 
 2455928.425300  18.114642  0.0130531200 
