                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        0                         3   0.4914091676452493E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5                         6
                      rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.7961617020149901E+003   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000
  0.7961178639536167E+003   0.1659510233583481E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1475325632388753E-009   0.0000000000000000E+000
  0.7960892577447298E+003   0.2090864732824802E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2163155764633925E-009   0.0000000000000000E+000
  0.7960447312630021E+003   0.2634352778203535E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2917186293754333E-009   0.0000000000000000E+000
  0.7959741999892044E+003   0.3319134718284098E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.3796317703560580E-009   0.0000000000000000E+000
  0.7958622409553435E+003   0.4181965131119112E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.4859366473590495E-009   0.0000000000000000E+000
  0.7956845231725094E+003   0.5269181443311064E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.6170773778360807E-009   0.0000000000000000E+000
  0.7954020994115315E+003   0.6639224229684704E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.7805713927462376E-009   0.0000000000000000E+000
  0.7949591591007664E+003   0.8365842216776941E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.9855236653539481E-009   0.0000000000000000E+000
  0.7944865107775178E+003   0.9916732597855531E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1170129365435462E-008   0.0000000000000000E+000
  0.7940713704644450E+003   0.1109332826959014E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1310416096049064E-008   0.0000000000000000E+000
  0.7933310386386966E+003   0.1289786194391616E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1524716059445404E-008   0.0000000000000000E+000
  0.7920759501994978E+003   0.1547866870274486E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1830294795967119E-008   0.0000000000000000E+000
  0.7900049047971607E+003   0.1898334053743948E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.2244718161829937E-008   0.0000000000000000E+000
  0.7866410040270777E+003   0.2359008531981851E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.2789578159295017E-008   0.0000000000000000E+000
  0.7813787869044825E+003   0.2953811726919050E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3493963813391176E-008   0.0000000000000000E+000
  0.7776054741773975E+003   0.3325741491626675E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3938784855820959E-008   0.0000000000000000E+000
  0.7741223297151248E+003   0.3630409034787670E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4303761742961745E-008   0.0000000000000000E+000
  0.7670681600233030E+003   0.4181573781707106E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4962789052224491E-008   0.0000000000000000E+000
  0.7609295413010821E+003   0.4619842333138247E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5489072380259397E-008   0.0000000000000000E+000
  0.7556580197040918E+003   0.4967155433453719E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5907264793464883E-008   0.0000000000000000E+000
  0.7507239094101585E+003   0.5273640086688255E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6277008303675409E-008   0.0000000000000000E+000
  0.7465441494358279E+003   0.5521548683367114E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6576627278981505E-008   0.0000000000000000E+000
  0.7425384814246486E+003   0.5750196138116572E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6853376496282385E-008   0.0000000000000000E+000
  0.7386868747142904E+003   0.5963059736552363E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7111393305012976E-008   0.0000000000000000E+000
  0.7349597138172443E+003   0.6162710585583477E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7353738241119881E-008   0.0000000000000000E+000
  0.7299138595612384E+003   0.6424732299410246E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7672258894989930E-008   0.0000000000000000E+000
  0.7250789767302183E+003   0.6668548114901312E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7969230839536983E-008   0.0000000000000000E+000
  0.7204154185529942E+003   0.6897174138529830E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8248232065425885E-008   0.0000000000000000E+000
  0.7158895933167920E+003   0.7112900265148888E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8511984588977223E-008   0.0000000000000000E+000
  0.7092073021093457E+003   0.7422291229783814E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8891039606244359E-008   0.0000000000000000E+000
  0.7028439733823446E+003   0.7710377753576904E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9244978408717682E-008   0.0000000000000000E+000
  0.6997469269042157E+003   0.7847578900753090E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9413923649707197E-008   0.0000000000000000E+000
  0.6966950725272491E+003   0.7980718174119844E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9578083206366025E-008   0.0000000000000000E+000
  0.6936849872555313E+003   0.8110109425233624E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9737831764805881E-008   0.0000000000000000E+000
  0.6874779823429702E+003   0.8373140156003741E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1006316832204084E-007   0.0000000000000000E+000
  0.6842904589906566E+003   0.8506505246953538E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1022849831058041E-007   0.0000000000000000E+000
  0.6811433137866478E+003   0.8636406396168832E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1038976313079479E-007   0.0000000000000000E+000
  0.6780455783082971E+003   0.8763084152284944E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1054724909000547E-007   0.0000000000000000E+000
  0.6749841982366935E+003   0.8886753618948684E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1070121217542991E-007   0.0000000000000000E+000
  0.6690043332863263E+003   0.9125830255527823E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1099943647692220E-007   0.0000000000000000E+000
  0.6660791295889998E+003   0.9241560898755011E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1114411822904473E-007   0.0000000000000000E+000
  0.6620912782402702E+003   0.9397455146767436E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1133932337687432E-007   0.0000000000000000E+000
  0.6581760664047156E+003   0.9549230225595678E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1152973059486620E-007   0.0000000000000000E+000
  0.6543235158269157E+003   0.9697185538085488E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1171569462793357E-007   0.0000000000000000E+000
  0.6505307057459364E+003   0.9841587568220979E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1189753185693810E-007   0.0000000000000000E+000
  0.6467945519930764E+003   0.9982674662584533E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1207552519140178E-007   0.0000000000000000E+000
  0.6431122440192985E+003   0.1012066096157680E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1224992883086803E-007   0.0000000000000000E+000
  0.6394813102824464E+003   0.1025573965731466E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1242097211800550E-007   0.0000000000000000E+000
  0.6358983130161558E+003   0.1038808571326809E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1258886287114147E-007   0.0000000000000000E+000
  0.6320631317600781E+003   0.1052879057219362E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1276769656729538E-007   0.0000000000000000E+000
  0.6282815391120209E+003   0.1066664938678590E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1294325961059722E-007   0.0000000000000000E+000
  0.6245499805424646E+003   0.1080182979772085E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1311575108903214E-007   0.0000000000000000E+000
