                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "b5a33c5"                               "gfortran"                                 "13.1.0"                   "aarch64-macos-23.7.2"                                 "CRMATH"                               "20240829"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                            star_1_radius                            star_2_radius                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                                     edot                               edot_tidal                             edot_enhance                               extra_edot                              star_1_mass                              star_2_mass                            sum_of_masses                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                 J_spin_1                                 J_spin_2                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              lg_t_sync_1                              lg_t_sync_2                        P_rot_div_P_orb_1                        P_rot_div_P_orb_2                              donor_index                         point_mass_index 
                                       1                  1.0000000000000000E+000                  1.8799999977176078E+001                 -7.6416096782953753E+000                  0.0000000000000000E+000                                     1022                  8.0229636513056306E+000                  4.2458403752425572E-001                  7.8129300294883219E-008                  9.9999999456720778E-001                  9.9999996968171589E-001                  4.2458403752425572E-001                  7.8129300294883219E-008                  9.9759350724770857E-001                  9.9727260128022477E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5251997131195733E+033                  1.5685119537734633E+034                  1.5986290020523135E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1066440140312152E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6678458963906841E+000                 -2.8214705249302828E+001                 -1.0837079843903322E+001                  4.6678458963906841E+000                  4.5291709915789156E+000                  3.6481259812728589E+004                  4.5620698274707721E+000                  7.4534609144205066E-001                  4.2215332931554608E+000                  1.6654564973251683E+004                  2.7317466429528570E-008                  1.5688961269213391E-004                  7.5487173163937680E+000                  6.9657829171859842E-001                  1.6441477899425827E+001                  6.1729758959039971E-001                  8.4955240335505278E-001                  6.9910459226100208E-001                  2.8034868217620013E-001                  1.2386726297730389E-004                  9.3184972386336096E-003                  3.4468833607860785E-003                  9.3805276451495445E-003                  1.3152473425748049E+001                  5.2666161756802286E+000                  2.4670214609803529E+000                  4.6651022320052782E+000                 -2.8214705249302828E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6500000062033982E+003                  2.1691016813236447E+003                  0.0000000000000000E+000                  1.4865707880692993E+000                  3.9925043973962076E+001                  5.5634743671242095E+000                  1.2503576448774338E+000                  1.4088238759454491E+003                  3.3381640868340077E+002                 -9.9605097949991050E-001                 -9.9625435535116746E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999977176078E+001                  6.9999999999999984E-001                  1.9499999977176081E+001                 -9.8999999999999986E+001                 -7.6416096782953753E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6416096782953753E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306753213930E+053                  1.2193386452642469E+049                  0.0000000000000000E+000                  8.3860526091859188E+053                 -1.1580923769296168E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1580923769296168E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9345268464000274E+001                 -9.8999999999999986E+001                  1.0045691405146400E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  2.2000000000000002E+000                  1.8799999949788646E+001                 -7.6416298531730140E+000                  7.9181246047624804E-002                                     1021                  8.1924014605652040E+000                  4.3337968083991563E-001                  7.8129298374343571E-008                  9.9999999456732103E-001                  9.9999996968113980E-001                  4.3337968083991563E-001                  7.8129298374343571E-008                  9.9764427888796414E-001                  9.9743764745793673E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7030342814139235E+033                  1.5828437151177120E+034                  1.6317972460174360E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1065944523300527E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7004158456108360E+000                 -2.8215123243927433E+001                 -9.8999999999999986E+001                  4.7004158456108360E+000                  4.5291675380415644E+000                  3.6480633948752191E+004                  4.5620623767521202E+000                  7.4534927315742927E-001                  4.2215269290920334E+000                  1.6654320922415911E+004                  2.7233591777194342E-008                  1.5640910792900288E-004                  7.5487103390025787E+000                  6.9655893824419113E-001                  1.6441452819152023E+001                  6.1729514237152872E-001                  8.4955471056586584E-001                  6.9910916804667056E-001                  2.8034668453789646E-001                  1.4027036923933630E-004                  9.3188156050743147E-003                  3.4468833607860828E-003                  9.3805276451495532E-003                  1.3152472767107847E+001                  5.2666165742482614E+000                  2.5321744323218551E+000                  4.6974576891772708E+000                 -2.8215123243927433E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+000                  2.2000000000000002E+000                  2.6500000136471617E+003                  2.1691016843701127E+003                  0.0000000000000000E+000                  1.4865707880692995E+000                  3.9925043915800146E+001                  5.5635151262347486E+000                  1.2503575521814154E+000                  1.4088238777198453E+003                  3.3381640930104828E+002                 -9.9605095057358106E-001                 -9.9625435563578357E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999949788646E+001                  6.9999999999999984E-001                  1.9499999949788645E+001                 -9.8999999999999986E+001                 -7.6416298531730140E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6416298531730140E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306748828541E+053                  1.2193386304823203E+049                  0.0000000000000000E+000                  8.3860526087459031E+053                 -1.1580385829705985E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1580385829774158E+036                  6.8173743062622786E+024                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378404612933110E+001                 -9.8999999999999986E+001                  1.0076630331972953E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.6400000000000001E+000                  1.8799999916925625E+001                 -7.6416550089177822E+000                  1.5836249209524964E-001                                     1024                  7.9992843427595046E+000                  4.2458403888496637E-001                  7.8129300043301715E-008                  4.3439125181748245E-001                  4.3439125181748245E-001                  4.2458403888496637E-001                  7.8129300043301715E-008                  4.3439125181748245E-001                  4.3091032121931472E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7001873438544170E+033                  1.5817180121494913E+034                  1.6213138730353770E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1065384013666953E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7004398112396117E+000                 -2.8215535791082004E+001                 -9.8999999999999986E+001                  4.7004398112396109E+000                  4.5291635928545357E+000                  3.6479856965364335E+004                  4.5620531268253810E+000                  7.4535253856811567E-001                  4.2215203975114992E+000                  1.6654070451307285E+004                  2.7169354092984567E-008                  1.5604142040176545E-004                  7.5487034210736486E+000                  6.9653460907975417E-001                  1.6441422083361658E+001                  6.1729513907008748E-001                  8.4955471197658528E-001                  6.9910917030213748E-001                  2.8034670226522057E-001                  1.4039761740640449E-004                  9.3188118236541117E-003                  3.4468833607860755E-003                  9.3805276451495358E-003                  1.3152471976683360E+001                  5.2666170523947313E+000                  2.5327088027609355E+000                  4.6974781642993575E+000                 -2.8215535791082004E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+000                  3.6400000000000001E+000                  2.6500000225791646E+003                  2.1691016880256643E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043846009835E+001                  5.5635569578278332E+000                  1.2503574409444815E+000                  1.4088238798489995E+003                  3.3381641004218238E+002                 -9.9605092088698544E-001                 -9.9625435597732748E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999916925625E+001                  6.9999999999999984E-001                  1.9499999916925624E+001                 -9.8999999999999986E+001                 -7.6416550089177822E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6416550089177822E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306743566381E+053                  1.2193386128136530E+049                  0.0000000000000000E+000                  8.3860526082179193E+053                 -1.1579715119772291E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1579715114729324E+036                 -5.0429674183783424E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378406967272440E+001                 -9.8999999999999986E+001                  1.0100454912785144E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.3680000000000003E+000                  1.8799999877492748E+001                 -7.6416853325889118E+000                  2.3754373814287447E-001                                     1023                  8.0840785436319660E+000                  4.2752464374185595E-001                  7.8129300305613220E-008                  9.9999999456761857E-001                  9.9999996967915417E-001                  4.3337968250649000E-001                  7.8129300305613220E-008                  9.9764428272443284E-001                  9.9743765129361073E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6966826064540411E+033                  1.5814153341547146E+034                  1.6212911496374372E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1064718750454920E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6998156095056212E+000                 -2.8216025343378540E+001                 -1.1138109839567303E+001                  4.6998156095056212E+000                  4.5291584584630264E+000                  3.6478822342646425E+004                  4.5620408094166356E+000                  7.4535664864676288E-001                  4.2215121764432748E+000                  1.6653755197581453E+004                  2.7118826496035607E-008                  1.5575290838922907E-004                  7.5486952215744578E+000                  6.9650519229090058E-001                  1.6441385119873775E+001                  6.1729519514602305E-001                  8.4955465704972066E-001                  6.9910906071563306E-001                  2.8034677274624636E-001                  1.4014888436233999E-004                  9.3187994368178692E-003                  3.4468833607860755E-003                  9.3805276451495428E-003                  1.3152471029575327E+001                  5.2666176259921249E+000                  2.5321441017612458E+000                  4.6968535553886674E+000                 -2.8216025343378540E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+000                  5.3680000000000003E+000                  2.6500000332968161E+003                  2.1691016924120181E+003                  0.0000000000000000E+000                  1.4865707880692993E+000                  3.9925043762267336E+001                  5.5636096104997206E+000                  1.2503573074601908E+000                  1.4088238824038037E+003                  3.3381641093148119E+002                 -9.9605088352065208E-001                 -9.9625435638717952E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999877492748E+001                  6.9999999999999984E-001                  1.9499999877492751E+001                 -9.8999999999999986E+001                 -7.6416853325889118E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6416853325889118E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306737252220E+053                  1.2193385916710132E+049                  0.0000000000000000E+000                  8.3860526075843884E+053                 -1.1578906663069869E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1578906661269351E+036                 -1.8005183414967518E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378412933865537E+001                 -9.8999999999999986E+001                  1.0119273964746487E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000002E+000                  1.8799999830177665E+001                 -7.6417253745955493E+000                  3.1672498419049927E-001                                     1023                  8.0899986113157230E+000                  4.2752464481783181E-001                  7.8129299639610815E-008                  9.9999999456781286E-001                  9.9999996967783089E-001                  4.3337968359720164E-001                  7.8129299639610815E-008                  9.9855792528341869E-001                  9.9826506528230230E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6923954994939256E+033                  1.5810472234416113E+034                  1.6212928913760291E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1063924110912357E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6990470171692307E+000                 -2.8216608821511883E+001                 -1.1138109839567303E+001                  4.6990470171692307E+000                  4.5291521279692875E+000                  3.6477498567526738E+004                  4.5620250490761292E+000                  7.4536142946398598E-001                  4.2215026137158134E+000                  1.6653388502687812E+004                  2.7067804018618623E-008                  1.5546183135085482E-004                  7.5486854489902413E+000                  6.9647017169849890E-001                  1.6441341097660391E+001                  6.1729526428033676E-001                  8.4955458938038808E-001                  6.9910892572460570E-001                  2.8034685906038415E-001                  1.3983920591576897E-004                  9.3187842906443941E-003                  3.4468833607860837E-003                  9.3805276451495567E-003                  1.3152469895114073E+001                  5.2666183140545941E+000                  2.5314275602748313E+000                  4.6960846068107243E+000                 -2.8216608821511883E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+000                  7.4416000000000002E+000                  2.6500000461568152E+003                  2.1691016976751589E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043661785580E+001                  5.5636708563781720E+000                  1.2503571472789934E+000                  1.4088238854692884E+003                  3.3381641199854158E+002                 -9.9605084005618993E-001                 -9.9625435687900077E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999830177665E+001                  6.9999999999999984E-001                  1.9499999830177664E+001                 -9.8999999999999986E+001                 -7.6417253745955493E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6417253745955493E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306729675936E+053                  1.2193385663489377E+049                  0.0000000000000000E+000                  8.3860526068242282E+053                 -1.1577839189736902E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1577839189997076E+036                  2.6017477070377102E+025                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378419599276430E+001                 -9.8999999999999986E+001                  1.0138348622419495E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9299199999999992E+000                  1.8799999773406178E+001                 -7.6417759917207935E+000                  3.9590623023812410E-001                                     1023                  8.1044466732563141E+000                  4.3045654477013218E-001                  7.8129300170505615E-008                  9.9999999456804600E-001                  9.9999996967624927E-001                  4.3108759419883502E-001                  7.8129300170505615E-008                  9.9915821827874418E-001                  9.9868980801335394E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6876572365788649E+033                  1.5806421031525046E+034                  1.6214325277493503E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1062976271224249E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6981961311439182E+000                 -2.8217304261804152E+001                 -9.8999999999999986E+001                  4.6981961311439182E+000                  4.5291443893380823E+000                  3.6475844080176284E+004                  4.5620053506030853E+000                  7.4536705748987508E-001                  4.2214913563525709E+000                  1.6652956835186418E+004                  2.7010323179858564E-008                  1.5513395878408347E-004                  7.5486738007263465E+000                  6.9642847798502328E-001                  1.6441288670943081E+001                  6.1729534131455877E-001                  8.4955451381556302E-001                  6.9910877493691792E-001                  2.8034695719358071E-001                  1.3950416973829746E-004                  9.3187670187745066E-003                  3.4468833607860802E-003                  9.3805276451495410E-003                  1.3152468536501251E+001                  5.2666191393638373E+000                  2.5306897800448200E+000                  4.6952329465291029E+000                 -2.8217304261804152E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+000                  9.9299199999999992E+000                  2.6500000615870113E+003                  2.1691017039901899E+003                  0.0000000000000000E+000                  1.4865707880692995E+000                  3.9925043541221548E+001                  5.5637429565033472E+000                  1.2503569550616489E+000                  1.4088238891474393E+003                  3.3381641327886450E+002                 -9.9605078888897158E-001                 -9.9625435746918423E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999773406178E+001                  6.9999999999999984E-001                  1.9499999773406181E+001                 -9.8999999999999986E+001                 -7.6417759917207935E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6417759917207935E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306720585445E+053                  1.2193385360138896E+049                  0.0000000000000000E+000                  8.3860526059121456E+053                 -1.1576489939853321E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1576489936123534E+036                 -3.7297870405242517E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378428632978011E+001                 -9.8999999999999986E+001                  1.0159924046774544E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2915903999999998E+001                  1.8799999705290254E+001                 -7.6418388127665127E+000                  4.7508747628574888E-001                                     1023                  8.1097216473372136E+000                  4.3045654632975439E-001                  7.8129298087430972E-008                  9.9999999456832578E-001                  9.9999996967434956E-001                  4.3136817949285211E-001                  7.8129298087430972E-008                  9.9764429186255998E-001                  9.9743766042984516E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6815868837963591E+033                  1.5801202295224484E+034                  1.6214506372192116E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1061847789471570E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6971130221174819E+000                 -2.8218131131314255E+001                 -1.0837079843903322E+001                  4.6971130221174819E+000                  4.5291350207308696E+000                  3.6473811423780360E+004                  4.5619811483926576E+000                  7.4537369359908656E-001                  4.2214780825606173E+000                  1.6652447861401062E+004                  2.6945957097798346E-008                  1.5476691552509777E-004                  7.5486599499889246E+000                  6.9637894978572945E-001                  1.6441226369576746E+001                  6.1729543913248697E-001                  8.4955441800541809E-001                  6.9910858380165419E-001                  2.8034708009989329E-001                  1.3906988766311491E-004                  9.3187454482289520E-003                  3.4468833607860820E-003                  9.3805276451495549E-003                  1.3152466910346108E+001                  5.2666201292160340E+000                  2.5296846754424989E+000                  4.6941493034115700E+000                 -2.8218131131314255E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+000                  1.2915903999999999E+001                  2.6500000801005726E+003                  2.1691017115671325E+003                  0.0000000000000000E+000                  1.4865707880692995E+000                  3.9925043396565620E+001                  5.5638279722921924E+000                  1.2503567244008731E+000                  1.4088238935605832E+003                  3.3381641481502993E+002                 -9.9605072855612165E-001                 -9.9625435817740204E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999705290254E+001                  6.9999999999999984E-001                  1.9499999705290257E+001                 -9.8999999999999986E+001                 -7.6418388127665127E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6418388127665127E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306709678443E+053                  1.2193384996831393E+049                  0.0000000000000000E+000                  8.3860526048178128E+053                 -1.1574815590538362E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1574815589524843E+036                 -1.0135182214653430E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378440200830674E+001                 -9.8999999999999986E+001                  1.0184193089635427E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.6499084799999999E+001                  1.8799999623565604E+001                 -7.6419156400629875E+000                  5.5426872233337365E-001                                     1023                  8.1146252586280010E+000                  4.3045654820097501E-001                  7.8129300256402605E-008                  9.9999999456866229E-001                  9.9999996967208593E-001                  4.3162901176106427E-001                  7.8129300256402605E-008                  9.9759352601151086E-001                  9.9754275582364560E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6743555703001845E+033                  1.5794990181074930E+034                  1.6214736798797283E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1060506633626736E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6958262508244593E+000                 -2.8219112664527390E+001                 -9.8999999999999986E+001                  4.6958262508244593E+000                  4.5291237643618389E+000                  3.6471345726185704E+004                  4.5619517882842784E+000                  7.4538152628295817E-001                  4.2214624153049716E+000                  1.6651847132027964E+004                  2.6873761301940435E-008                  1.5435537918334183E-004                  7.5486435078721321E+000                  6.9632020092566005E-001                  1.6441152450948831E+001                  6.1729555577047657E-001                  8.4955430371390461E-001                  6.9910835579302633E-001                  2.8034722722490329E-001                  1.3855488025407847E-004                  9.3187196262133464E-003                  3.4468833607860820E-003                  9.3805276451495515E-003                  1.3152464964903539E+001                  5.2666213163000553E+000                  2.5284923913952912E+000                  4.6928618850412986E+000                 -2.8219112664527390E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+000                  1.6499084799999999E+001                  2.6500001023129162E+003                  2.1691017206578549E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043223009212E+001                  5.5639283191776139E+000                  1.2503564476081102E+000                  1.4088238988554185E+003                  3.3381641665810230E+002                 -9.9605065734354881E-001                 -9.9625435902725912E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999623565604E+001                  6.9999999999999984E-001                  1.9499999623565603E+001                 -9.8999999999999986E+001                 -7.6419156400629875E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6419156400629875E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306696592357E+053                  1.2193384561823215E+049                  0.0000000000000000E+000                  8.3860526035048537E+053                 -1.1572768268198507E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1572768266690011E+036                 -1.5084947291976060E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378454728313987E+001                 -9.8999999999999986E+001                  1.0211552625087104E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.0798901759999996E+001                  1.8799999525517002E+001                 -7.6420085619119034E+000                  6.3344996838099854E-001                                     1023                  8.1180803360368081E+000                  4.3045655044596004E-001                  7.8129303778117419E-008                  9.9999999456906630E-001                  9.9999996966939675E-001                  4.3181279473003392E-001                  7.8129303778117419E-008                  9.9764430140244331E-001                  9.9679056151009060E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6661406764604100E+033                  1.5787593786621282E+034                  1.6215031130322358E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1058915745530459E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6943006454574165E+000                 -2.8220275315187308E+001                 -9.8999999999999986E+001                  4.6943006454574157E+000                  4.5291103229220013E+000                  3.6468383907128140E+004                  4.5619165180226462E+000                  7.4539077403181642E-001                  4.2214439175422571E+000                  1.6651137900457677E+004                  2.6788419575921238E-008                  1.5386884126782034E-004                  7.5486240308660237E+000                  6.9625067316195632E-001                  1.6441064943687998E+001                  6.1729569465633460E-001                  8.4955416755396951E-001                  6.9910808415143544E-001                  2.8034740323108887E-001                  1.3794568945539213E-004                  9.3186887337721128E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  1.3152462638801374E+001                  5.2666227397517824E+000                  2.5270813026755898E+000                  4.6913354952395805E+000                 -2.8220275315187308E+001                  0.0000000000000000E+000                                        0                  9.0000000000000000E+000                  2.0798901760000000E+001                  2.6500001289620250E+003                  2.1691017315643885E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043014786084E+001                  5.5640467972189684E+000                  1.2503561154572120E+000                  1.4088239052078623E+003                  3.3381641886931612E+002                 -9.9605057326423052E-001                 -9.9625436004708112E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999525517002E+001                  6.9999999999999984E-001                  1.9499999525517001E+001                 -9.8999999999999986E+001                 -7.6420085619119034E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6420085619119034E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306680892409E+053                  1.2193384040993853E+049                  0.0000000000000000E+000                  8.3860526019296509E+053                 -1.1570292534898767E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1570292533050843E+036                 -1.8479246628547626E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9378472722852546E+001                 -9.8999999999999986E+001                  1.0244084173438497E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
