                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-macos-24.7.1"                                 "CRMATH"                               "20240911"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                            star_1_radius                            star_2_radius                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                                     edot                               edot_tidal                             edot_enhance                               extra_edot                              star_1_mass                              star_2_mass                            sum_of_masses                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                 J_spin_1                                 J_spin_2                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              lg_t_sync_1                              lg_t_sync_2                        P_rot_div_P_orb_1                        P_rot_div_P_orb_2                              donor_index                         point_mass_index 
                                       1                  1.0000000000000000E+000                  6.9999999999999984E-001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262684467467802E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262684467467802E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292767489592856E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292767489592856E+000                  3.5922978240205419E+000                  3.2956552578339204E-001                 -4.8205822399277631E-001                  9.7028400827025421E-002                  4.0891088656633388E+000                  1.2277469549293830E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371299666567083E+000                  4.9443529732957697E-001                  1.5255192864650214E+001                  6.2122723879636310E-001                  8.5000496627253808E-001                  6.9999999999998852E-001                  2.7997020236474890E-001                  3.4468833607861436E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999949E-001                  1.9597914165532421E-001                 -4.6292767491965616E+000                 -1.3891807811200907E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6500000062757099E+003                  2.1691016813532397E+003                  0.0000000000000000E+000                  1.4865707880692987E+000                  3.9925043973397074E+001                  5.5560246026772750E+000                  1.2503407939817108E+000                  1.4088238759626863E+003                  3.3381640868940093E+002                 -9.9605626743166831E-001                 -9.9625440583076574E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999976910033E+001                  6.9999999999999984E-001                  1.9499999976910036E+001                 -9.8999999999999986E+001                 -7.6365766946955942E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365766946955942E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306753171344E+053                  1.2140880398371752E+049                  0.0000000000000000E+000                  8.3860520841211173E+053                 -1.1715914307832865E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715914307832865E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9383464303794639E+001                 -9.8999999999999986E+001                  1.0046045919895641E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  2.2000000000000002E+000                  6.9999999999999984E-001                 -9.8999999999999986E+001                  7.9181246047624804E-002                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2271286194570150E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2271286194570150E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292764446172399E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292764446172399E+000                  3.5922978215009724E+000                  3.2956546927131047E-001                 -4.8205829846320897E-001                  9.7028368630947118E-002                  4.0891089300554953E+000                  1.2277471369654973E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371299952158189E+000                  4.9443539726819197E-001                  1.5255192993243448E+001                  6.2122723877784258E-001                  8.5000496627253364E-001                  6.9999999999997464E-001                  2.7997020236474890E-001                  3.4468833607861436E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999844E-001                  1.9597914165532421E-001                 -4.6292764448545158E+000                 -1.3891806864789491E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+000                  2.2000000000000002E+000                  2.6500000138064652E+003                  2.1691016844353103E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043914555431E+001                  5.5560243291925655E+000                  1.2503407012886874E+000                  1.4088238777578197E+003                  3.3381640931426637E+002                 -9.9605626763081623E-001                 -9.9625440611545391E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999949202537E+001                  6.9999999999999984E-001                  1.9499999949202536E+001                 -9.8999999999999986E+001                 -7.6365839249089129E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365839249089129E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306748734709E+053                  1.2140880249235040E+049                  0.0000000000000000E+000                  8.3860520836759633E+053                 -1.1715719298300142E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715719294083495E+036                 -4.2166466866062089E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382730594543936E+001                 -9.8999999999999986E+001                  1.0077047051967085E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.6400000000000001E+000                  6.9999999999999984E-001                 -9.8999999999999986E+001                  1.5836249209524964E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262417744467297E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262417744467297E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292760794072869E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.6292760794072860E+000                  3.5922978184694476E+000                  3.2956540143156693E-001                 -4.8205838786101318E-001                  9.7028329995094656E-002                  4.0891090073272007E+000                  1.2277473554120281E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371300294867517E+000                  4.9443551719453060E-001                  1.5255193147555334E+001                  6.2122723875561769E-001                  8.5000496627252808E-001                  6.9999999999995799E-001                  2.7997020236474890E-001                  3.4468833607861436E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999766E-001                  1.9597914165532421E-001                 -4.6292760796445629E+000                 -1.3891805729096401E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+000                  3.6400000000000001E+000                  2.6500000228433451E+003                  2.1691016881337841E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043843945659E+001                  5.5560240062359094E+000                  1.2503405900554603E+000                  1.4088238799119731E+003                  3.3381641006410291E+002                 -9.9605626786608481E-001                 -9.9625440645708407E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999915953638E+001                  6.9999999999999984E-001                  1.9499999915953637E+001                 -9.8999999999999986E+001                 -7.6365852401297118E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365852401297118E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306743410753E+053                  1.2140880070962963E+049                  0.0000000000000000E+000                  8.3860520831417847E+053                 -1.1715683855774450E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715683854113616E+036                 -1.6608341584638226E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382742837914048E+001                 -9.8999999999999986E+001                  1.0100807724997081E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.3680000000000003E+000                  6.9999999999999984E-001                 -9.8999999999999986E+001                  2.3754373814287447E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262339540402559E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262339540402559E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292756411544982E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292756411544982E+000                  3.5922978148315905E+000                  3.2956532002376160E-001                 -4.8205849513855159E-001                  9.7028283632039927E-002                  4.0891091000533102E+000                  1.2277476175480961E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371300706119856E+000                  4.9443566110629628E-001                  1.5255193332729863E+001                  6.2122723872894769E-001                  8.5000496627252142E-001                  6.9999999999993789E-001                  2.7997020236474890E-001                  3.4468833607861436E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999627E-001                  1.9597914165532421E-001                 -4.6292756413917751E+000                 -1.3891804366261631E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+000                  5.3680000000000003E+000                  2.6500000336875764E+003                  2.1691016925719423E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043759214120E+001                  5.5560236917856196E+000                  1.2503404565755094E+000                  1.4088238824969512E+003                  3.3381641096390462E+002                 -9.9605626809652148E-001                 -9.9625440686704081E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999876055050E+001                  6.9999999999999984E-001                  1.9499999876055053E+001                 -9.8999999999999986E+001                 -7.6365862027731266E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365862027731266E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306737022019E+053                  1.2140879857630388E+049                  0.0000000000000000E+000                  8.3860520825007778E+053                 -1.1715657936685433E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715657933470439E+036                 -3.2149942985786677E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382757491977038E+001                 -9.8999999999999986E+001                  1.0119555206751427E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000002E+000                  6.9999999999999984E-001                 -9.8999999999999986E+001                  3.1672498419049927E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262329286336116E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262329286336116E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292751152509481E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292751152509481E+000                  3.5922978104661780E+000                  3.2956522233444607E-001                 -4.8205862387156562E-001                  9.7028227996357810E-002                  4.0891092113246739E+000                  1.2277479321115443E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371301199622987E+000                  4.9443583380043760E-001                  1.5255193554939369E+001                  6.2122723869694385E-001                  8.5000496627251332E-001                  6.9999999999991414E-001                  2.7997020236474895E-001                  3.4468833607861444E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999488E-001                  1.9597914165532421E-001                 -4.6292751154882259E+000                 -1.3891802730859308E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+000                  7.4416000000000002E+000                  2.6500000467006280E+003                  2.1691016978977223E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043657536492E+001                  5.5560233791048077E+000                  1.2503402963995398E+000                  1.4088238855989189E+003                  3.3381641204366451E+002                 -9.9605626832714944E-001                 -9.9625440735898874E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999828176844E+001                  6.9999999999999984E-001                  1.9499999828176843E+001                 -9.8999999999999986E+001                 -7.6365870890049283E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365870890049283E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306729355560E+053                  1.2140879602103456E+049                  0.0000000000000000E+000                  8.3860520817315763E+053                 -1.1715634085027641E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715634083771098E+036                 -1.2565434506102773E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382775021667502E+001                 -9.8999999999999986E+001                  1.0138666744577740E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9299199999999992E+000                  6.9999999999999984E-001                 -9.8999999999999986E+001                  3.9590623023812410E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262342274626233E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262342274626233E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292744841671682E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292744841671691E+000                  3.5922978052276702E+000                  3.2956510510730130E-001                 -4.8205877835118816E-001                  9.7028161233561963E-002                  4.0891093448502653E+000                  1.2277483095876607E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371301791826269E+000                  4.9443604103332461E-001                  1.5255193821590639E+001                  6.2122723865853924E-001                  8.5000496627250355E-001                  6.9999999999988527E-001                  2.7997020236474890E-001                  3.4468833607861431E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999344E-001                  1.9597914165532421E-001                 -4.6292744844044469E+000                 -1.3891800768378086E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+000                  9.9299199999999992E+000                  2.6500000623162582E+003                  2.1691017042886447E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043535523571E+001                  5.5560230668206474E+000                  1.2503401041884687E+000                  1.4088238893212724E+003                  3.3381641333937387E+002                 -9.9605626855923246E-001                 -9.9625440794932607E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999770723108E+001                  6.9999999999999984E-001                  1.9499999770723107E+001                 -9.8999999999999986E+001                 -7.6365879616664012E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365879616664012E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306720155822E+053                  1.2140879295962230E+049                  0.0000000000000000E+000                  8.3860520808085416E+053                 -1.1715610609838254E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715610611702069E+036                  1.8638142695537971E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382796008042874E+001                 -9.8999999999999986E+001                  1.0160293985957003E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2915903999999998E+001                  6.9999999999999984E-001                 -9.8999999999999986E+001                  4.7508747628574888E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262351160590524E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262351160590524E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292737268667610E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292737268667610E+000                  3.5922977989414648E+000                  3.2956496443483907E-001                 -4.8205896372666085E-001                  9.7028081118237339E-002                  4.0891095050809145E+000                  1.2277487625589813E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371302502470213E+000                  4.9443628971273312E-001                  1.5255194141572106E+001                  6.2122723861245355E-001                  8.5000496627249211E-001                  6.9999999999985096E-001                  2.7997020236474895E-001                  3.4468833607861436E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999999128E-001                  1.9597914165532421E-001                 -4.6292737271040405E+000                 -1.3891798413401160E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+000                  1.2915903999999999E+001                  2.6500000810549764E+003                  2.1691017119577359E+003                  0.0000000000000000E+000                  1.4865707880692995E+000                  3.9925043389108367E+001                  5.5560227559143645E+000                  1.2503398735353100E+000                  1.4088238937880876E+003                  3.3381641489422168E+002                 -9.9605626879242137E-001                 -9.9625440865773029E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999701778763E+001                  6.9999999999999984E-001                  1.9499999701778766E+001                 -9.8999999999999986E+001                 -7.6365888445070764E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365888445070764E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306709116160E+053                  1.2140878929272378E+049                  0.0000000000000000E+000                  8.3860520797009089E+053                 -1.1715586880025814E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715586878891586E+036                 -1.1342280556931807E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382821144554615E+001                 -9.8999999999999986E+001                  1.0184578713774606E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.6499084799999999E+001                  6.9999999999999984E-001                 -9.8999999999999986E+001                  5.5426872233337365E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262365430184072E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262365430184072E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292728181070881E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292728181070890E+000                  3.5922977913980332E+000                  3.2956479562811558E-001                 -4.8205918617702787E-001                  9.7027984979916132E-002                  4.0891096973575571E+000                  1.2277493061244004E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371303355242217E+000                  4.9443658812786279E-001                  1.5255194525549630E+001                  6.2122723855715090E-001                  8.5000496627247857E-001                  6.9999999999980966E-001                  2.7997020236474901E-001                  3.4468833607861444E-003                  9.3805276451495462E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999998933E-001                  1.9597914165532421E-001                 -4.6292728183443685E+000                 -1.3891795587431748E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+000                  1.6499084799999999E+001                  2.6500001035413952E+003                  2.1691017211606281E+003                  0.0000000000000000E+000                  1.4865707880692991E+000                  3.9925043213410476E+001                  5.5560224487162184E+000                  1.2503395967517723E+000                  1.4088238991482558E+003                  3.3381641676003562E+002                 -9.9605626902547917E-001                 -9.9625440950781474E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999619045728E+001                  6.9999999999999984E-001                  1.9499999619045727E+001                 -9.8999999999999986E+001                 -7.6365897474513966E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365897474513966E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306695868610E+053                  1.2140878490146452E+049                  0.0000000000000000E+000                  8.3860520783717626E+053                 -1.1715562621885902E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715562620380096E+036                 -1.5058064212363882E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382851262052100E+001                 -9.8999999999999986E+001                  1.0211998638052344E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.0798901759999996E+001                  6.9999999999999984E-001                 -9.8999999999999986E+001                  6.3344996838099854E-001                                      702                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262378603646164E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999988900001E-001                  4.2262378603646164E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6292717275960475E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6292717275960475E+000                  3.5922977823459137E+000                  3.2956459306023095E-001                 -4.8205945311737686E-001                  9.7027869613980508E-002                  4.0891099280894290E+000                  1.2277499584029392E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6371304378568157E+000                  4.9443694622585915E-001                  1.5255194986322454E+001                  6.2122723849078765E-001                  8.5000496627246214E-001                  6.9999999999975970E-001                  2.7997020236474895E-001                  3.4468833607861431E-003                  9.3805276451495445E-003                  3.4468833607861462E-003                  9.3805276451495410E-003                  4.8999999999998628E-001                  1.9597914165532421E-001                 -4.6292717278333289E+000                 -1.3891792196270696E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                                        0                  9.0000000000000000E+000                  2.0798901760000000E+001                  2.6500001305250371E+003                  2.1691017322040739E+003                  0.0000000000000000E+000                  1.4865707880692993E+000                  3.9925043002573474E+001                  5.5560221487685642E+000                  1.2503392646117515E+000                  1.4088239055804431E+003                  3.3381641899900734E+002                 -9.9605626925639124E-001                 -9.9625441052791519E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8799999519766295E+001                  6.9999999999999984E-001                  1.9499999519766295E+001                 -9.8999999999999986E+001                 -7.6365906790816034E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.6365906790816034E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.3859306679971571E+053                  1.2140877964282470E+049                  0.0000000000000000E+000                  8.3860520767767996E+053                 -1.1715537609776438E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1715537607969752E+036                 -1.8066856397076665E+026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9382887357290819E+001                 -9.8999999999999986E+001                  1.0244753024213427E+000                 -9.9999999999999997E+098                  1.0000000000000000E+000                  0.0000000000000000E+000 
