                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.8800000000000001E+001          6.9999999999999984E-001          2.6500000000000000E+003                       "gfortran"                         "13.3.0"            "x86_64-macos-24.7.1"                       "20240911" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                             edot                       edot_tidal                     edot_enhance                       extra_edot                      star_1_mass                      star_2_mass                    sum_of_masses                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index 
                               1          1.0000000000000000E+000          2.6500000062757099E+003          2.1691016813532397E+003          0.0000000000000000E+000          1.4865707880692987E+000          3.9925043973397074E+001          5.5560246026772750E+000          1.2503407939817108E+000          1.4088238759626863E+003          3.3381640868940093E+002         -9.9605626743166831E-001         -9.9625440583076574E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999976910033E+001          6.9999999999999984E-001          1.9499999976910036E+001         -9.8999999999999986E+001         -7.6365766946955942E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365766946955942E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306753171344E+053          1.2140880398371752E+049          0.0000000000000000E+000          8.3860520841211173E+053         -1.1715914307832865E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715914307832865E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.9383464303794639E+001         -9.8999999999999986E+001          1.0046045919895641E+000         -9.9999999999999997E+098                                1                                0 
                               2          2.2000000000000002E+000          2.6500000138064652E+003          2.1691016844353103E+003          0.0000000000000000E+000          1.4865707880692991E+000          3.9925043914555431E+001          5.5560243291925655E+000          1.2503407012886874E+000          1.4088238777578197E+003          3.3381640931426637E+002         -9.9605626763081623E-001         -9.9625440611545391E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999949202537E+001          6.9999999999999984E-001          1.9499999949202536E+001         -9.8999999999999986E+001         -7.6365839249089129E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365839249089129E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306748734709E+053          1.2140880249235040E+049          0.0000000000000000E+000          8.3860520836759633E+053         -1.1715719298300142E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715719294083495E+036         -4.2166466866062089E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382730594543936E+001         -9.8999999999999986E+001          1.0077047051967085E+000         -9.9999999999999997E+098                                1                                0 
                               3          3.6400000000000001E+000          2.6500000228433451E+003          2.1691016881337841E+003          0.0000000000000000E+000          1.4865707880692991E+000          3.9925043843945659E+001          5.5560240062359094E+000          1.2503405900554603E+000          1.4088238799119731E+003          3.3381641006410291E+002         -9.9605626786608481E-001         -9.9625440645708407E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999915953638E+001          6.9999999999999984E-001          1.9499999915953637E+001         -9.8999999999999986E+001         -7.6365852401297118E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365852401297118E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306743410753E+053          1.2140880070962963E+049          0.0000000000000000E+000          8.3860520831417847E+053         -1.1715683855774450E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715683854113616E+036         -1.6608341584638226E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382742837914048E+001         -9.8999999999999986E+001          1.0100807724997081E+000         -9.9999999999999997E+098                                1                                0 
                               4          5.3680000000000003E+000          2.6500000336875764E+003          2.1691016925719423E+003          0.0000000000000000E+000          1.4865707880692991E+000          3.9925043759214120E+001          5.5560236917856196E+000          1.2503404565755094E+000          1.4088238824969512E+003          3.3381641096390462E+002         -9.9605626809652148E-001         -9.9625440686704081E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999876055050E+001          6.9999999999999984E-001          1.9499999876055053E+001         -9.8999999999999986E+001         -7.6365862027731266E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365862027731266E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306737022019E+053          1.2140879857630388E+049          0.0000000000000000E+000          8.3860520825007778E+053         -1.1715657936685433E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715657933470439E+036         -3.2149942985786677E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382757491977038E+001         -9.8999999999999986E+001          1.0119555206751427E+000         -9.9999999999999997E+098                                1                                0 
                               5          7.4416000000000002E+000          2.6500000467006280E+003          2.1691016978977223E+003          0.0000000000000000E+000          1.4865707880692991E+000          3.9925043657536492E+001          5.5560233791048077E+000          1.2503402963995398E+000          1.4088238855989189E+003          3.3381641204366451E+002         -9.9605626832714944E-001         -9.9625440735898874E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999828176844E+001          6.9999999999999984E-001          1.9499999828176843E+001         -9.8999999999999986E+001         -7.6365870890049283E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365870890049283E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306729355560E+053          1.2140879602103456E+049          0.0000000000000000E+000          8.3860520817315763E+053         -1.1715634085027641E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715634083771098E+036         -1.2565434506102773E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382775021667502E+001         -9.8999999999999986E+001          1.0138666744577740E+000         -9.9999999999999997E+098                                1                                0 
                               6          9.9299199999999992E+000          2.6500000623162582E+003          2.1691017042886447E+003          0.0000000000000000E+000          1.4865707880692991E+000          3.9925043535523571E+001          5.5560230668206474E+000          1.2503401041884687E+000          1.4088238893212724E+003          3.3381641333937387E+002         -9.9605626855923246E-001         -9.9625440794932607E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999770723108E+001          6.9999999999999984E-001          1.9499999770723107E+001         -9.8999999999999986E+001         -7.6365879616664012E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365879616664012E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306720155822E+053          1.2140879295962230E+049          0.0000000000000000E+000          8.3860520808085416E+053         -1.1715610609838254E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715610611702069E+036          1.8638142695537971E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382796008042874E+001         -9.8999999999999986E+001          1.0160293985957003E+000         -9.9999999999999997E+098                                1                                0 
                               7          1.2915903999999999E+001          2.6500000810549764E+003          2.1691017119577359E+003          0.0000000000000000E+000          1.4865707880692995E+000          3.9925043389108367E+001          5.5560227559143645E+000          1.2503398735353100E+000          1.4088238937880876E+003          3.3381641489422168E+002         -9.9605626879242137E-001         -9.9625440865773029E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999701778763E+001          6.9999999999999984E-001          1.9499999701778766E+001         -9.8999999999999986E+001         -7.6365888445070764E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365888445070764E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306709116160E+053          1.2140878929272378E+049          0.0000000000000000E+000          8.3860520797009089E+053         -1.1715586880025814E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715586878891586E+036         -1.1342280556931807E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382821144554615E+001         -9.8999999999999986E+001          1.0184578713774606E+000         -9.9999999999999997E+098                                1                                0 
                               8          1.6499084799999999E+001          2.6500001035413952E+003          2.1691017211606281E+003          0.0000000000000000E+000          1.4865707880692991E+000          3.9925043213410476E+001          5.5560224487162184E+000          1.2503395967517723E+000          1.4088238991482558E+003          3.3381641676003562E+002         -9.9605626902547917E-001         -9.9625440950781474E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999619045728E+001          6.9999999999999984E-001          1.9499999619045727E+001         -9.8999999999999986E+001         -7.6365897474513966E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365897474513966E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306695868610E+053          1.2140878490146452E+049          0.0000000000000000E+000          8.3860520783717626E+053         -1.1715562621885902E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715562620380096E+036         -1.5058064212363882E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382851262052100E+001         -9.8999999999999986E+001          1.0211998638052344E+000         -9.9999999999999997E+098                                1                                0 
                               9          2.0798901760000000E+001          2.6500001305250371E+003          2.1691017322040739E+003          0.0000000000000000E+000          1.4865707880692993E+000          3.9925043002573474E+001          5.5560221487685642E+000          1.2503392646117515E+000          1.4088239055804431E+003          3.3381641899900734E+002         -9.9605626925639124E-001         -9.9625441052791519E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999519766295E+001          6.9999999999999984E-001          1.9499999519766295E+001         -9.8999999999999986E+001         -7.6365906790816034E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365906790816034E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306679971571E+053          1.2140877964282470E+049          0.0000000000000000E+000          8.3860520767767996E+053         -1.1715537609776438E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715537607969752E+036         -1.8066856397076665E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9382887357290819E+001         -9.8999999999999986E+001          1.0244753024213427E+000         -9.9999999999999997E+098                                1                                0 
